r_channel;ir_channel
2101;2463
2141;2433
2089;2482
2116;2455
2109;2437
2113;2472
2099;2458
2108;2480
2101;2445
2077;2494
2116;2466
2106;2450
2113;2471
2106;2461
2078;2483
2130;2441
2090;2484
2091;2457
2112;2480
2101;2463
2121;2456
2088;2478
2088;2461
2104;2466
2112;2448
2107;2429
2074;2482
2101;2457
2110;2441
2113;2466
2103;2473
2080;2483
2114;2445
2100;2448
2087;2474
2108;2465
2105;2466
2133;2433
2093;2463
2087;2466
2106;2470
2117;2455
2100;2434
2090;2486
2098;2468
2105;2444
2114;2464
2111;2463
2070;2472
2107;2437
2097;2460
2097;2455
2097;2464
2096;2471
2111;2444
2097;2468
2080;2469
2103;2470
2121;2455
2088;2427
2083;2487
2105;2458
2097;2444
2123;2484
2107;2468
2070;2493
2122;2454
2096;2451
2092;2451
2109;2475
2108;2453
2137;2447
2100;2474
2080;2472
2122;2487
2135;2455
2123;2445
2095;2483
2130;2469
2108;2460
2125;2471
2118;2483
2107;2496
2152;2481
2135;2479
2127;2480
2138;2494
2138;2497
2162;2472
2128;2502
2118;2502
2147;2501
2169;2498
2156;2479
2128;2530
2167;2504
2156;2501
2178;2507
2162;2520
2133;2537
2175;2494
2151;2493
2153;2520
2168;2539
2159;2540
2183;2523
2183;2527
2201;2534
2187;2514
2174;2548
2208;2547
2210;2562
2222;2571
2223;2546
2200;2575
2190;2576
2220;2579
2217;2581
2241;2562
2223;2581
2213;2575
2213;2582
2202;2582
2253;2560
2213;2569
2219;2572
2194;2578
2182;2585
2210;2538
2195;2521
2202;2558
2201;2545
2172;2575
2193;2541
2200;2535
2201;2544
2191;2532
2182;2561
2184;2536
2179;2542
2179;2544
2206;2505
2165;2538
2154;2520
2187;2530
2167;2521
2196;2501
2169;2527
2175;2523
2164;2526
2153;2534
2179;2510
2167;2505
2171;2505
2174;2519
2140;2547
2168;2512
2159;2504
2167;2515
2155;2494
2132;2512
2147;2513
2173;2509
2179;2509
2185;2498
2141;2515
2149;2517
2165;2520
2163;2522
2187;2490
2149;2519
2155;2525
2158;2521
2128;2536
2190;2492
2160;2482
2166;2511
2154;2517
2145;2537
2177;2511
2149;2498
2170;2513
2174;2504
2133;2533
2170;2513
2158;2529
2166;2517
2168;2493
2138;2520
2140;2504
2161;2517
2181;2510
2196;2489
2155;2525
2126;2509
2167;2535
2136;2519
2181;2491
2156;2524
2156;2507
2163;2523
2133;2530
2155;2504
2154;2484
2171;2512
2171;2502
2153;2519
2174;2500
2156;2498
2172;2500
2161;2493
2127;2534
2162;2508
2161;2523
2167;2529
2186;2493
2148;2526
2142;2510
2154;2523
2169;2512
2176;2482
2152;2514
2146;2502
2162;2521
2133;2520
2179;2501
2155;2492
2162;2500
2171;2514
2134;2535
